fecha,sector,peso_total,indice_12m_idx,indice_12m_pred_ma,brecha
2015-03-01,PBI,100,85.36794725610655,,
2015-03-01,Manufactura,16.51803448933821,97.2376685949138,,
2015-03-01,Otros Servicios,14.89,79.67126069115425,,
2015-03-01,Minería,12.150090493066784,70.99154574447934,,
2015-03-01,Comercio,10.177576612562678,88.91575883987221,,
2015-03-01,Agro,5.966348966039294,81.63120911929911,,
2015-03-01,Construcción,5.103959110771897,98.40746634858657,,
2015-03-01,Transporte,4.97,85.28819127064827,,
2015-03-01,Servicios a Empresas,4.24,87.478462486921,,
2015-03-01,Servicios Financieros,3.22,78.84851898089205,,
2015-03-01,Alojamiento y Restaurantes,2.86,86.27090685353754,,
2015-03-01,Petróleo,2.204931356019681,118.78572922284043,,
2015-03-01,Pesca,0.739459418879988,75.26025679914557,,
2015-04-01,PBI,100,85.66473009994358,,
2015-04-01,Manufactura,16.51803448933821,97.7294545960905,,
2015-04-01,Otros Servicios,14.89,80.07896070484121,,
2015-04-01,Minería,12.150090493066784,71.94580002617774,,
2015-04-01,Comercio,10.177576612562678,89.16688139195752,,
2015-04-01,Agro,5.966348966039294,81.6002150901279,,
2015-04-01,Construcción,5.103959110771897,97.61739658895007,,
2015-04-01,Transporte,4.97,85.43669150654844,,
2015-04-01,Servicios a Empresas,4.24,87.85020668973598,,
2015-04-01,Servicios Financieros,3.22,79.52901763422528,,
2015-04-01,Alojamiento y Restaurantes,2.86,86.46560395169169,,
2015-04-01,Petróleo,2.204931356019681,117.47347571492546,,
2015-04-01,Pesca,0.739459418879988,86.314965619322,,
2015-05-01,PBI,100,85.75689280374263,,
2015-05-01,Manufactura,16.51803448933821,97.45844423061195,,
2015-05-01,Otros Servicios,14.89,80.48915116431073,,
2015-05-01,Minería,12.150090493066784,72.47513266103715,,
2015-05-01,Comercio,10.177576612562678,89.43001890129962,,
2015-05-01,Agro,5.966348966039294,81.95482410559606,,
2015-05-01,Construcción,5.103959110771897,96.5366796785697,,
2015-05-01,Transporte,4.97,85.5560768334129,,
2015-05-01,Servicios a Empresas,4.24,88.16914721886063,,
2015-05-01,Servicios Financieros,3.22,80.15016088149757,,
2015-05-01,Alojamiento y Restaurantes,2.86,86.70723902502604,,
2015-05-01,Petróleo,2.204931356019681,115.91167465839038,,
2015-05-01,Pesca,0.739459418879988,88.83505567351037,,
2015-06-01,PBI,100,86.04322850566881,,
2015-06-01,Manufactura,16.51803448933821,97.27218285291899,,
2015-06-01,Otros Servicios,14.89,80.90870510051214,,
2015-06-01,Minería,12.150090493066784,73.4012886458459,,
2015-06-01,Comercio,10.177576612562678,89.73471592881369,,
2015-06-01,Agro,5.966348966039294,82.70575158416237,,
2015-06-01,Construcción,5.103959110771897,96.24816641310954,,
2015-06-01,Transporte,4.97,85.78682458387745,,
2015-06-01,Servicios a Empresas,4.24,88.48818675864815,,
2015-06-01,Servicios Financieros,3.22,80.82052162812178,,
2015-06-01,Alojamiento y Restaurantes,2.86,86.91434435205976,,
2015-06-01,Petróleo,2.204931356019681,113.44631715833798,,
2015-06-01,Pesca,0.739459418879988,85.80223987046828,,
2015-07-01,PBI,100,86.30141166054916,,
2015-07-01,Manufactura,16.51803448933821,97.23749478821912,,
2015-07-01,Otros Servicios,14.89,81.29670932986998,,
2015-07-01,Minería,12.150090493066784,74.55348224098516,,
2015-07-01,Comercio,10.177576612562678,90.06302383461806,,
2015-07-01,Agro,5.966348966039294,83.16166668231821,,
2015-07-01,Construcción,5.103959110771897,95.63540237311433,,
2015-07-01,Transporte,4.97,86.04613513873184,,
2015-07-01,Servicios a Empresas,4.24,88.85946564511752,,
2015-07-01,Servicios Financieros,3.22,81.38441859132992,,
2015-07-01,Alojamiento y Restaurantes,2.86,87.21834211897416,,
2015-07-01,Petróleo,2.204931356019681,111.54914341963809,,
2015-07-01,Pesca,0.739459418879988,82.74994483792939,,
2015-08-01,PBI,100,86.48969097948869,,
2015-08-01,Manufactura,16.51803448933821,97.09589787874896,,
2015-08-01,Otros Servicios,14.89,81.67522501767834,,
2015-08-01,Minería,12.150090493066784,75.40751646123977,,
2015-08-01,Comercio,10.177576612562678,90.37305659868538,,
2015-08-01,Agro,5.966348966039294,83.2888937536842,,
2015-08-01,Construcción,5.103959110771897,94.962168890449135,,
2015-08-01,Transporte,4.97,86.24946551262333,,
2015-08-01,Servicios a Empresas,4.24,89.13136182650668,,
2015-08-01,Servicios Financieros,3.22,81.97744520352367,,
2015-08-01,Alojamiento y Restaurantes,2.86,87.4199691804924,,
2015-08-01,Petróleo,2.204931356019681,110.37391022682164,,
2015-08-01,Pesca,0.739459418879988,82.35686815318084,,
2015-09-01,PBI,100,86.71719008754009,,
2015-09-01,Manufactura,16.51803448933821,96.7759777031841,,
2015-09-01,Otros Servicios,14.89,82.01475015591045,,
2015-09-01,Minería,12.150090493066784,76.6987971451037,,
2015-09-01,Comercio,10.177576612562678,90.69564309066584,,
2015-09-01,Agro,5.966348966039294,83.582934158473,,
2015-09-01,Construcción,5.103959110771897,94.51654090352442,,
2015-09-01,Transporte,4.97,86.3381082386458,,
2015-09-01,Servicios a Empresas,4.24,89.47523358915277,,
2015-09-01,Servicios Financieros,3.22,82.49417586254148,,
2015-09-01,Alojamiento y Restaurantes,2.86,87.63101380326607,,
2015-09-01,Petróleo,2.204931356019681,108.17509517010986,,
2015-09-01,Pesca,0.739459418879988,82.48260242349154,,
2015-10-01,PBI,100,86.95632925744896,,
2015-10-01,Manufactura,16.51803448933821,96.51945911428818,,
