anio,cat,siaf_id,pia,pim,devengado
2008,total,300147,1324183,1390074,582272
2008,total,300148,925923,1015036,951597
2008,total,300149,748040,938293,888466
2008,total,300150,42977829,84379366,52183893
2008,total,300151,9837152,23087667,13316907
2008,total,300152,16064344,30814628,30468760
2008,total,300153,39904019,90388516,38217380
2008,total,300154,10989016,16245888,10284547
2008,total,300155,11142604,18853609,16975551
2008,total,300156,19995246,33819699,19134896
2008,total,300157,13826844,28373935,24217700
2008,total,300158,9738508,18374728,11422592
2008,total,300159,11503215,22206403,14831705
2008,total,300160,16682696,40408882,23713188
2008,total,300161,2851092,4796678,3125573
2008,total,300162,9145538,17384039,12704014
2008,total,300163,139898912,427153873,69461382
2008,total,300164,13228956,29266693,17352324
2008,total,300165,7847971,15225762,11280604
2008,total,300166,12537090,29676601,21652308
2008,total,300167,1327107,1697140,1603563
2008,total,300168,5709081,6532014,3115077
2008,total,300169,1292543,2016463,1217901
2008,total,300170,1310348,1933676,1159789
2008,total,300171,16618770,35701229,20112054
2008,total,300172,2037453,3037727,2019510
2008,total,300173,1553712,2837747,1684470
2008,total,300174,1701755,3777423,2144383
2008,total,300175,1871560,2984389,2097329
2008,total,300176,8319718,22064229,6416273
2008,total,300177,6462173,8308719,5857830
2008,total,300178,4714960,6099106,4714121
2008,total,300179,2102624,3422333,2891490
2008,total,300180,2448418,3471744,2734530
2008,total,300181,3279004,6755874,3045787
2008,total,300182,3804389,8347668,6296425
2008,total,300183,1506557,2418219,1767558
2008,total,300184,2309703,3727573,2594523
2008,total,300185,1835638,2078418,1915458
2008,total,300186,5519448,9398655,7240375
2008,total,300187,3047543,6174925,2877241
2008,total,300188,1378726,2497822,1526843
2008,total,300189,2096941,3768708,1764799
2008,total,300190,953012,1506180,1024686
2008,total,300191,730346,977375,646435
2008,total,300192,1055615,1939472,1141859
2008,total,300193,1490219,1706545,1627708
2008,total,300194,1709149,2151936,1930823
2008,total,300195,753126,1447111,1140980
2008,total,300196,1028265,1485291,917285
2008,total,300197,1393659,2180296,1778141
2008,total,300198,938417,1322195,1104771
2008,total,300199,2931399,9688235,5464373
2008,total,300200,1326502,2512172,1563408
2008,total,300201,6297777,12367148,8153366
2008,total,300202,4827690,5729296,1687663
2008,total,300203,1192459,1824512,1373993
2008,total,300204,1019087,2555068,1439194
2008,total,300205,843799,2301722,1550525
2008,total,300206,2143245,3631361,1657883
2008,total,300207,4674309,13070564,6377052
2008,total,300208,1248276,2610164,1887638
2008,total,300209,2373659,4569697,3498599
2008,total,300210,11312820,23304956,13819968
2008,total,300211,3271258,4786794,4467184
2008,total,300212,5984470,13612867,6607633
2008,total,300213,2517879,3067009,2444355
2008,total,300214,3810489,7837622,4817689
2008,total,300215,3460651,6826008,4233624
2008,total,300216,954722,1518672,1045765
2008,total,300217,1148577,1899745,1355150
2008,total,300218,1199084,2811375,1562560
2008,total,300219,1406250,1696336,1390011
2008,total,300220,1379995,2663992,1079268
2008,total,300221,1282543,2254639,964089
2008,total,300222,967038,1151487,1055740
2008,total,300223,1907083,3738202,2850114
2008,total,300224,108022223,231765633,118038069
2008,total,300225,4258525,9426427,5787237
2008,total,300226,7773767,13595806,9656669
2008,total,300227,4175069,9141915,5214084
2008,total,300228,5639157,13622438,8791354
2008,total,300229,10024968,24301033,21915355
2008,total,300230,3322902,10773595,9250115
2008,total,300231,8954710,22667120,17387132
2008,total,300232,38641313,76882726,72023605
