fecha,division,ipc,inflacion
2020-04-01,Apurímac,93.66992698718832,0.025952470765748803
2020-05-01,Apurímac,92.76759884281581,0.02076701530998948
2020-06-01,Apurímac,91.84460669513706,0.014686857925576335
2020-07-01,Apurímac,92.04435872709739,0.009595043819885074
2020-08-01,Apurímac,91.8997107039537,0.00232890090902238
2020-09-01,Apurímac,91.71373467419754,0
2020-10-01,Apurímac,92.01680672268907,-0.0019424729174449817
2020-11-01,Apurímac,92.58851081416172,0.0014154808910078476
2020-12-01,Apurímac,92.6642788262846,0.003955223880596881
2021-01-01,Apurímac,93.30486292877806,0.010820088053130394
2021-02-01,Apurímac,93.95922303347568,0.019582928469990213
2021-03-01,Apurímac,93.58727097396336,0.011539606908874456
2021-04-01,Apurímac,93.80079900812784,0.0013971615559966732
2021-05-01,Apurímac,93.73191899710704,0.01039501039501034
2021-06-01,Apurímac,94.44827111172339,0.028348582570871583
2021-07-01,Apurímac,95.10263121642099,0.03322607198982275
2021-08-01,Apurímac,96.04628736740597,0.04512067156348376
2021-09-01,Apurímac,97.32056757129081,0.061134059331581
2021-10-01,Apurímac,98.4019837443174,0.06939142151358646
2021-11-01,Apurímac,99.29742388758781,0.07245945543817878
2021-12-01,Apurímac,100,0.0791644986248421
2022-01-01,Apurímac,100.48933737429397,0.07699999999999996
2022-02-01,Apurímac,100.8182463149194,0.07299999999999995
2022-03-01,Apurímac,101.29886210221794,0.08240000000000003
2022-04-01,Apurímac,102.14907011985122,0.08899999999999997
2022-05-01,Apurímac,102.51459980713597,0.0936999999999999
2022-06-01,Apurímac,103.00528447444553,0.09060000000000001
2022-07-01,Apurímac,104.71750723240115,0.10109999999999997
2022-08-01,Apurímac,105.05542912246865,0.0938000000000001
2022-09-01,Apurímac,105.71933255269322,0.08630000000000004
2022-10-01,Apurímac,106.73663176746109,0.0847
2022-11-01,Apurímac,106.88374707259952,0.07640000000000002
2022-12-01,Apurímac,107.80000000000001,0.07800000000000007
1997-01-01,Arequipa,42.74614176062232,0.10656509458187102
1997-02-01,Arequipa,42.779206536117854,0.0883243606998656
1997-03-01,Arequipa,43.43058261337981,0.08778467908902687
1997-04-01,Arequipa,43.64550365410076,0.08499095840867965
1997-05-01,Arequipa,43.764536845884685,0.07916836526702031
1997-06-01,Arequipa,44.194378927326575,0.08077949381418303
1997-07-01,Arequipa,44.69365703730909,0.0819659009045064
1997-08-01,Arequipa,44.92180398822826,0.07407700213455648
1997-09-01,Arequipa,45.21938696768804,0.07668083766336031
1997-10-01,Arequipa,45.22269344523759,0.06901672659058944
1997-11-01,Arequipa,45.22599992278714,0.06634442971856225
1997-12-01,Arequipa,45.38140436761614,0.062224286045971855
1998-01-01,Arequipa,45.447533918607185,0.06319616336633649
1998-02-01,Arequipa,46.00963510203122,0.07551398979749568
1998-03-01,Arequipa,46.71060834253649,0.07552341073467872
1998-04-01,Arequipa,46.80980266902306,0.07249999999999979
1998-05-01,Arequipa,47.676099787005974,0.08937745542459918
1998-06-01,Arequipa,48.09932891334878,0.08835852162202618
1998-07-01,Arequipa,48.20513619493447,0.07856772952578228
1998-08-01,Arequipa,48.63167179882682,0.08258501398498441
1998-09-01,Arequipa,48.6184458886286,0.07516817782977459
1998-10-01,Arequipa,48.185297329637145,0.06551144256781427
1998-11-01,Arequipa,47.84803661958274,0.05797631232636369
1998-12-01,Arequipa,47.854649574681844,0.05449908925318736
1999-01-01,Arequipa,47.8579560522314,0.05303746817024413
1999-02-01,Arequipa,47.94061799097023,0.04196909809558047
1999-03-01,Arequipa,48.24812040307866,0.03291569335315314
1999-04-01,Arequipa,48.307636998970615,0.03199830472557763
1999-05-01,Arequipa,48.41344428055632,0.015465704972605687
1999-06-01,Arequipa,48.43989610095274,0.007080497697119492
1999-07-01,Arequipa,48.56554224783575,0.007476507305027802
1999-08-01,Arequipa,48.64489770902504,2.719608376393623e-4
1999-09-01,Arequipa,48.9920778517281,0.007684983677910706
1999-10-01,Arequipa,49.035062059872295,0.017635353050161395
1999-11-01,Arequipa,49.05490092516962,0.02522285951212777
1999-12-01,Arequipa,49.11111104351201,0.026255786637186418
2000-01-01,Arequipa,49.26982196589055,0.029501174519828144
2000-02-01,Arequipa,49.5277272147557,0.03310573142975337
2000-03-01,Arequipa,49.732728822828,0.030770285087719396
2000-04-01,Arequipa,49.732728822828,0.029500342231348453
2000-05-01,Arequipa,49.74264825547666,0.02745526567408829
2000-06-01,Arequipa,49.75918064322442,0.027235494880545996
2000-07-01,Arequipa,49.98402111659403,0.02920751633986929
2000-08-01,Arequipa,50.33781421439622,0.034801522566612286
2000-09-01,Arequipa,50.731285042793026,0.035499763784841765
2000-10-01,Arequipa,50.81394698153186,0.036277815239379674
2000-11-01,Arequipa,50.84370527947784,0.03646535454300337
2000-12-01,Arequipa,50.9792708590095,0.03803945330909575
2001-01-01,Arequipa,51.01564211205459,0.035433863499094276
2001-02-01,Arequipa,51.03878745490148,0.03050937979838486
2001-03-01,Arequipa,51.349596344559465,0.032511136227644455
2001-04-01,Arequipa,51.098304050793416,0.027458280699421467
2001-05-01,Arequipa,51.009029156955485,0.025458654613134568
2001-06-01,Arequipa,51.147901214036715,0.02790883115157161
2001-07-01,Arequipa,51.29999918131616,0.026327975127340197
2001-08-01,Arequipa,51.30661213641526,0.019245927482921532
2001-09-01,Arequipa,51.42895180574874,0.01375219970018926
2001-10-01,Arequipa,51.39258055270366,0.011387298282144798
2001-11-01,Arequipa,50.923060740667104,0.0015607725824280383
2001-12-01,Arequipa,50.28491057360338,-0.013620443637306523
2002-01-01,Arequipa,49.765793598323526,-0.024499319463348268
2002-02-01,Arequipa,49.49466243926018,-0.03025395180098489
2002-03-01,Arequipa,49.60046972084587,-0.03406310367031573
2002-04-01,Arequipa,49.70958347998112,-0.02717742979163973
2002-05-01,Arequipa,49.87160087990923,-0.022298567446684237
2002-06-01,Arequipa,49.4086940229718,-0.034003490852672846
2002-07-01,Arequipa,49.24337014549414,-0.0400902352562037
2002-08-01,Arequipa,49.216918325097716,-0.04072952245923811
2002-09-01,Arequipa,49.765793598323526,-0.03233894818053251
2002-10-01,Arequipa,50.03692475738689,-0.026378434021746222
2002-11-01,Arequipa,50.07660248798152,-0.01662229725342501
2002-12-01,Arequipa,49.72611586772888,-0.011112572330353121
2003-01-01,Arequipa,49.77571303097219,1.9932230416586094e-4
2003-02-01,Arequipa,50.03692475738689,0.010955975683078378
2003-03-01,Arequipa,50.42047615313504,0.016532231184587687
2003-04-01,Arequipa,50.18240976956723,0.009511773313822358
2003-05-01,Arequipa,50.136119083873474,0.005303984618444613
2003-06-01,Arequipa,49.818697239116375,0.008298199826005215
2003-07-01,Arequipa,49.66990574938649,0.008661787416907263
2003-08-01,Arequipa,49.79555189626951,0.011756802149815337
2003-09-01,Arequipa,49.97410168394537,0.004185768387482636
2003-10-01,Arequipa,50.23200693281051,0.0038987642899621644
2003-11-01,Arequipa,50.347733647044876,0.005414328161109427
2003-12-01,Arequipa,50.82055993663096,0.02200944211716216
2004-01-01,Arequipa,51.33637043436124,0.03135379301182395
2004-02-01,Arequipa,51.92161696063214,0.037666027886076536
2004-03-01,Arequipa,52.285329491082976,0.03698603187094229
2004-04-01,Arequipa,52.02742424221783,0.03676615932002325
2004-05-01,Arequipa,52.01750480956918,0.03752555562883342
2004-06-01,Arequipa,51.90839105043394,0.0419459746465789
2004-07-01,Arequipa,52.21589346254236,0.05125815470643058
2004-08-01,Arequipa,52.27871653598387,0.049867197875165914
2004-09-01,Arequipa,52.50686348690304,0.050681487362710165
2004-10-01,Arequipa,52.85404362960612,0.0521985255397579
2004-11-01,Arequipa,53.2640468457507,0.05792342549418783
2004-12-01,Arequipa,53.300418098795774,0.04879635653871173
2005-01-01,Arequipa,53.145013653966785,0.03523122504186538
2005-02-01,Arequipa,52.84081771940791,0.017703623511431177
2005-03-01,Arequipa,52.74492987047087,0.008790235881869668
2005-04-01,Arequipa,52.53662178484901,0.009787098824277196
2005-05-01,Arequipa,52.563073605245435,0.010488176964149387
