Año,Mes,País,Turistas
2011,4,Guatemala,235
2011,4,Honduras,154
2011,4,Hong Kong,57
2011,4,Hungría,154
2011,4,India,265
2011,4,Indonesia,57
2011,4,Irlanda,475
2011,4,Israel,2053
2011,4,Italia,2518
2011,4,Japón,3663
2011,4,Lituania,38
2011,4,Malasia,157
2011,4,Marruecos,20
2011,4,México,3837
2011,4,Nicaragua,100
2011,4,Noruega,740
2011,4,Nueva Zelandia,531
2011,4,Países Bajos,1854
2011,4,Panamá,934
2011,4,Paraguay,334
2011,4,Polonia,501
2011,4,Portugal,284
2011,4,Puerto Rico,41
2011,4,Reino Unido,5811
2011,4,Republica Checa,259
2011,4,Rep. Dominicana,206
2011,4,Rumania,95
2011,4,Rusia (Fed),559
2011,4,Singapur,134
2011,4,Sudáfrica,288
2011,4,Suecia,728
2011,4,Suiza,1536
2011,4,Tailandia,136
2011,4,Taiwán,129
2011,4,Trinidad y Tobago,36
2011,4,Turquía,97
2011,4,Ucrania,156
2011,4,Uruguay,1025
2011,4,Venezuela,3680
2011,4,Vietnam,6
2011,4,Resto del Mundo,939
2011,5,Alemania,3456
2011,5,Argentina,9651
2011,5,Aruba,24
2011,5,Australia,2760
2011,5,Austria,402
2011,5,Bélgica,755
2011,5,Bielorrusia,15
2011,5,Bolivia,4563
2011,5,Brasil,7738
2011,5,Bulgaria,69
2011,5,Canadá,5384
2011,5,Chile,54882
2011,5,China,867
2011,5,Colombia,7981
2011,5,Corea del Sur,891
2011,5,Costa Rica,792
2011,5,Croacia,52
2011,5,Cuba,295
2011,5,Dinamarca,345
2011,5,Ecuador,9677
2011,5,Estados Unidos,37369
2011,5,Egipto,15
2011,5,El Salvador,410
2011,5,Eslovaquia,62
2011,5,Eslovenia,44
2011,5,España,7166
2011,5,Filipinas,293
2011,5,Finlandia,120
2011,5,Francia,5847
2011,5,Grecia,90
2011,5,Guatemala,300
2011,5,Honduras,140
2011,5,Hong Kong,70
2011,5,Hungría,74
2011,5,India,414
2011,5,Indonesia,141
